Id,SalePrice
1461,123676.71962708488
1462,160690.5338271558
1463,185866.4385262658
1464,197409.49883553584
1465,194351.1528549843
1466,173853.4665046593
1467,174728.1086572369
1468,163166.760386732
1469,191444.63775398396
1470,121560.99907557879
1471,186031.65425692775
1472,96987.11633654824
1473,96601.74178061858
1474,148054.54282542516
1475,119804.84501464947
1476,364330.85692191985
1477,249119.4572434346
1478,307990.13675166154
1479,286061.46650196164
1480,478469.7971279813
1481,319434.9411761782
1482,206550.851808032
1483,174128.91721179758
1484,163765.91953659477
1485,183241.14242206322
1486,190793.300209496
1487,330366.6028519723
1488,226917.4189019992
1489,201874.93456647068
1490,232097.4615634718
1491,192459.85434246244
1492,92726.39072786024
1493,183978.65552976404
1494,295542.3130945629
1495,288872.4817475917
1496,238890.1910157065
1497,179302.5297151407
1498,170367.0830359343
1499,161885.2703585155
1500,156254.59162592315
1501,173551.752414023
1502,146724.2319416688
1503,311349.1301840458
1504,238342.68642619203
1505,229231.79990815456
1506,187145.07579587845
1507,238193.68319092225
1508,201835.86305313822
1509,160963.31777492567
1510,145704.22920615663
1511,153974.18123737257
1512,167975.43205240378
1513,144726.9091172461
1514,153898.02692048112
1515,188515.51173481392
1516,151479.28140880883
1517,170010.6897975619
1518,128881.61881468151
1519,212604.0426181485
1520,128732.37677673498
1521,135868.35137471725
1522,173005.05511382426
1523,113465.20548065992
1524,124747.23584786347
1525,122403.46711735844
1526,111975.35509012864
1527,105546.635041421
1528,132292.5105656949
1529,153976.44749420945
1530,179991.4802988961
1531,107219.89114519568
1532,93343.47358097929
1533,147203.91093581487
1534,116895.91472915176
1535,152318.61688793058
1536,107487.38127872846
1537,61683.31051382225
1538,156056.21015827323
1539,192402.2989999571
1540,87965.04435737162
1541,146316.2524121753
1542,146250.1160256151
1543,199359.85932351302
1544,81995.7029385875
1545,110460.02150208768
1546,139094.12534197824
1547,132578.52542474214
1548,138953.34284612132
1549,122221.57659134464
1550,135240.39699404727
1551,105344.80841173959
1552,135795.7870760592
1553,146709.30510767538
1554,114809.72914400176
1555,167855.53154308695
1556,80692.03077130544
1557,110303.36667386623
1558,99665.07305281774
1559,65689.47868519534
1560,132640.73282061977
1561,126553.25363092957
1562,131690.25352388152
1563,121375.26058596314
1564,156436.80456849787
1565,156313.57532854652
1566,241458.62567943073
1567,73712.08605024622
1568,232557.70619782165
1569,139412.97372588643
1570,140334.5841757827
1571,122130.78721248449
1572,146169.76200736247
1573,241763.78126522075
1574,114132.95326524602
1575,222398.55753167093
1576,236085.23547093157
1577,184870.0432412062
1578,144712.6021585223
1579,145735.4372719757
1580,194392.25662337453
1581,156831.60811465918
1582,126989.45314213776
1583,297703.3834297963
1584,219714.62257871244
1585,137787.9785942244
1586,70321.4662072854
1587,103269.07907691976
1588,151238.0463239003
1589,99266.8178835414
1590,131947.8184888399
1591,96669.23956498834
1592,116240.07237109543
1593,122154.22348251144
1594,126848.27866887159
1595,107745.63576825148
1596,228327.6695383463
1597,196226.1110202299
1598,219391.81282735668
1599,182148.14068613946
1600,173350.61936059786
1601,65175.155240338405
1602,117669.66665374264
1603,69845.34688120283
1604,271593.0787214192
1605,237092.465118174
1606,165843.3355714698
1607,167782.39403074287
1608,216884.45859857454
1609,185540.54577470038
1610,156501.03877469065
1611,141609.06060094442
1612,168787.7847134507
1613,166264.54284194543
1614,126201.93674128629
1615,89843.46839088705
1616,76051.1361069
1617,90094.34027189041
1618,131644.0930350127
1619,141588.0969047529
1620,149328.10818240937
1621,139253.64431220008
1622,143076.56425513636
1623,263987.09415951953
1624,208197.5558436517
1625,118385.09492503779
1626,168470.8179568899
1627,192519.6704486137
1628,275040.87276929105
1629,182299.03281335835
1630,357130.10731556744
1631,235917.78379517997
1632,250922.32829544155
1633,170555.22963953298
1634,185238.7529480058
1635,176656.28363770316
1636,153998.23664454668
1637,194789.15767273572
1638,186740.5612667779
